23,28,28,23,28,28,23,28,28,28,28,28,23,28,28,28,28,23,28,28,28,28,28,28,28,28
23,28,28,23,28,28,23,28,28,28,28,28,23,28,28,28,28,23,28,28,28,28,28,28,28,28
23,28,28,23,28,28,15,28,28,28,28,28,23,28,28,28,28,23,28,28,28,28,28,28,28,28
23,28,28,15,28,28,28,28,28,28,28,28,15,15,28,28,28,23,28,28,28,28,28,28,28,28
23,36,28,28,28,28,28,28,28,28,29,28,28,28,28,28,28,23,28,28,28,28,28,28,28,28
23,36,28,29,29,29,28,28,28,28,29,28,28,28,28,28,28,23,28,28,28,28,28,28,28,28
23,36,36,28,28,29,28,28,28,26,27,28,28,0,1,1,1,2,28,19,19,28,28,19,28,11
1,1,1,1,2,29,26,27,28,28,28,28,28,8,28,28,29,32,1,1,1,1,1,1,1,1
28,28,28,28,10,19,19,19,19,19,19,19,19,8,28,28,28,28,28,28,28,28,28,28,28,28
28,28,28,28,32,1,1,1,1,1,1,1,1,33,28,28,28,28,28,28,28,28,28,28,28,28
