28,28,23,28,28,28,28,28,28,28,28,28,28,23,28,28,28,28,28,28
28,28,23,28,28,28,28,28,28,28,28,28,28,23,28,28,28,28,28,28
28,28,23,28,28,28,28,28,28,28,28,28,28,23,28,28,28,28,28,28
28,28,23,28,28,28,28,28,28,28,28,28,28,23,28,28,28,28,28,28
28,28,23,28,28,28,28,28,28,28,28,28,28,23,28,28,28,28,28,28
28,28,23,28,28,28,28,28,28,28,28,28,28,23,28,28,28,28,28,11
28,28,23,28,28,28,28,28,28,28,28,28,28,23,28,19,0,1,1,1
28,28,23,28,28,21,21,28,28,28,28,21,28,0,1,1,33,28,28,28
1,1,2,19,19,19,19,19,19,19,19,19,19,8,28,28,28,28,28,28
28,28,32,1,1,1,1,1,1,1,1,1,1,33,28,28,28,28,28,28
